,Treshold,PDB,Chain,N,Res,Rfac,Method,N_sc,N_bb,N_naa,N_hlx,N_beta,Compound,k,Ratio,N_pdb,N_nc,Domains,sigma,a0
18,25,1G6X,A,58,0.86,0.11,X,58,58,0,12,15,' pancreatic trypsin inhibitor',1.2015702291,20.5873861819,58.0,156.0,1.0,6.3,3.8
19,25,3QPA,A,197,0.85,0.11,X,197,197,1,80,30,' cutinase',3.17161156401,54.341552833,197.0,649.0,1000.0,6.3,3.8
20,25,1PJX,A,314,0.85,0.11,X,312,314,0,3,162,' diisopropylfluorophosphatase',3.58980409938,61.5067530147,316.0,1141.0,1.0,6.3,3.8
21,25,1KWF,A,363,0.94,0.09,X,363,363,0,181,22,' endoglucanase a',5.20908610242,89.2511021393,363.0,1237.0,1.0,6.3,3.8
22,25,1IQZ,A,81,0.92,0.10,X,81,81,0,18,14,' ferredoxin',1.76547934289,30.2492556389,81.0,220.0,1.0,6.3,3.8
23,25,3EA6,A,215,0.92,0.10,X,215,215,0,48,82,' staphylococcal enterotoxin k',3.69408656131,63.293501108,215.0,617.0,1000.0,6.3,3.8
24,25,2BT9,C,88,0.94,0.10,X,88,88,0,0,60,' lectin',1.81571897815,31.1100482481,88.0,238.0,1.0,6.3,3.8
25,25,4A02,A,166,0.95,0.10,X,166,166,0,18,71,' chitin binding protein',2.40598816968,41.2235642982,166.0,535.0,1000.0,6.3,3.8
26,25,3KLR,A,125,0.88,0.11,X,125,125,0,32,45,' glycine cleavage system h protein',2.36074819492,40.4484345483,125.0,359.0,1.0,6.3,3.8
27,25,1NWZ,A,125,0.82,0.12,X,125,125,0,37,37,' photoactive yellow protein',2.68291559581,45.9683654992,125.0,349.0,1.0,6.3,3.8
28,25,1J0P,A,108,0.91,0.11,X,108,108,0,29,12,' cytochrome c3',3.85843852578,66.1094641539,108.0,242.0,1.0,6.3,3.8
29,25,2QDV,A,105,0.89,0.11,X,105,105,1,3,47,' amicyanin',1.77133884188,30.3496507433,106.0,314.0,1.0,6.3,3.8
30,25,3QR7,A,115,0.94,0.10,X,115,115,0,0,20,' baseplate assembly protein v',9.07041794785,155.410139666,116.0,113.0,1000.0,6.3,3.8
31,25,3V1A,A,48,0.98,0.09,X,48,48,0,37,0,"' computational design, mid1-apo1'",2.3450071843,40.1787322398,48.0,104.0,1000.0,6.3,3.8
32,25,2Y78,A,122,0.91,0.11,X,122,122,0,12,45,' peptidyl-prolyl cis-trans isomerase',2.20332652922,37.7512134066,122.0,361.0,1000.0,6.3,3.8
33,25,2GKG,A,122,1.00,0.09,X,122,122,0,59,26,' response regulator homolog',2.57178143115,44.0642221454,122.0,344.0,1000.0,6.3,3.8
34,25,2HS1,A,99,0.84,0.13,X,99,99,0,4,54,' hiv-1 protease',2.16166903183,37.0374648754,99.0,237.0,1.0,6.3,3.8
35,25,2FVY,A,305,0.92,0.11,X,305,305,0,138,60,' d-galactose-binding periplasmic protein',4.56367191877,78.1927463942,306.0,981.0,2.0,6.3,3.8
36,25,2XJP,A,258,0.95,0.11,X,258,258,0,18,100,' flocculation protein flo5',3.68014792972,63.0546802846,260.0,803.0,1000.0,6.3,3.8
37,25,1VYR,A,363,0.90,0.12,X,363,363,0,125,69,' pentaerythritol tetranitrate reductase',4.89916740323,83.9410372005,363.0,1181.0,1.0,6.3,3.8
38,25,2RH2,A,57,0.96,0.10,X,57,57,0,3,26,' dihydrofolate reductase type 2',1.35247916539,23.173019942,57.0,141.0,1.0,6.3,3.8
39,25,2V8T,A,302,0.98,0.10,X,302,302,0,157,22,' manganese-containing pseudocatalase',5.81109634273,99.5657862106,302.0,857.0,1000.0,6.3,3.8
40,25,2BW4,A,335,0.90,0.12,X,334,334,1,37,134,' copper-containing nitrite reductase',4.17002935414,71.4481789114,334.0,1056.0,2.0,6.3,3.8
41,25,1MUW,A,386,0.86,0.13,X,386,386,0,194,39,' xylose isomerase',6.40397281405,109.723974702,386.0,1109.0,1.0,6.3,3.8
42,25,3FIL,A,56,0.88,0.12,X,56,56,1,17,24,' immunoglobulin g-binding protein g',1.51624813541,25.9789941155,57.0,138.0,1.0,6.3,3.8
43,25,1VBW,A,68,0.93,0.11,X,68,68,0,14,18,' trypsin inhibitor bgit',1.54776552521,26.5190047279,68.0,170.0,1.0,6.3,3.8
44,25,1OEW,A,331,0.90,0.12,X,330,330,1,35,150,' endothiapepsin',4.23092683418,72.4915802114,330.0,1081.0,2.0,6.3,3.8
45,25,1XG0,C,175,0.97,0.11,X,174,174,2,122,4,' b-phycoerythrin beta chain',5.24015385119,89.7834087213,174.0,438.0,1.0,6.3,3.8
46,25,1UFY,A,121,0.96,0.11,X,121,121,0,44,34,' chorismate mutase',2.4563950836,42.0872230157,121.0,318.0,1.0,6.3,3.8
47,25,2NLS,A,36,0.98,0.11,X,36,36,0,7,12,' beta-defensin 1',0.758131020288,12.9896161815,36.0,104.0,1000.0,6.3,3.8
48,25,1MJ5,A,297,0.95,0.11,X,297,297,0,126,57,"' 1,3,4,6-tetrachloro-1,4-cyclohexadiene hydrolase'",4.82712374648,82.7066602597,297.0,908.0,1.0,6.3,3.8
49,25,2XTT,A,35,0.93,0.12,X,35,35,0,0,13,' protease inhibitor sgpi-1',0.996002633215,17.0652454193,35.0,74.0,1000.0,6.3,3.8
50,25,3QM9,A,146,0.91,0.12,X,145,145,1,98,0,' myoglobin',3.95744857349,67.8058760979,145.0,399.0,1000.0,6.3,3.8
51,25,3H31,A,74,1.00,0.10,X,74,74,0,12,10,' high potential iron-sulfur protein',1.74201959546,29.8473025375,74.0,183.0,1.0,6.3,3.8
52,25,3ZZP,A,74,0.96,0.11,X,74,74,0,30,23,' ribosomal protein s6',2.15725246409,36.961792573,74.0,172.0,1000.0,6.3,3.8
53,25,3D1P,A,120,0.98,0.11,X,120,120,2,48,17,' putative thiosulfate sulfurtransferase yor285w',2.65323824873,45.4598816916,120.0,327.0,1.0,6.3,3.8
54,25,1K5C,A,333,0.96,0.11,X,333,333,0,14,178,' endopolygalacturonase',2.90554418261,49.782824763,333.0,1310.0,1.0,6.3,3.8
55,25,3AJ4,A,112,1.00,0.11,X,112,112,0,25,44,' pleckstrin homology domain-containing family b member 2',2.49778533531,42.7963926303,113.0,297.0,1000.0,6.3,3.8
56,25,3ZR8,X,65,0.90,0.13,X,65,65,0,49,0,' avr3a11',3.18402281414,54.5542039066,65.0,133.0,1000.0,6.3,3.8
57,25,1MWQ,A,100,0.99,0.11,X,99,99,1,35,34,' hypothetical protein hi0828',2.23868775222,38.3570832394,100.0,259.0,1.0,6.3,3.8
58,25,2BF6,A,448,0.97,0.11,X,448,448,0,11,215,' exo-alpha-sialidase',4.84383942449,82.9930622611,450.0,1578.0,2.0,6.3,3.8
59,25,3PUC,A,98,0.96,0.12,X,98,98,0,3,62,' titin',1.64756715879,28.2289794946,98.0,282.0,1000.0,6.3,3.8
60,25,2XFR,A,487,0.97,0.11,X,487,487,0,186,59,' beta-amylase',6.9794311388,119.583725282,487.0,1475.0,1.0,6.3,3.8
61,25,3Q46,A,179,0.99,0.11,X,177,177,1,39,53,' tt-ippase',2.92621739093,50.137034041,178.0,544.0,1000.0,6.3,3.8
62,25,3QL9,A,125,0.93,0.12,X,125,125,0,37,19,' transcriptional regulator atrx',3.11976438659,53.4532170218,125.0,327.0,1000.0,6.3,3.8
63,25,2CWS,A,227,1.00,0.11,X,227,227,0,17,113,' alginate lyase a1-ii'',3.16732259001,54.2680666879,227.0,744.0,1000.0,6.3,3.8
64,25,3S6E,A,113,0.95,0.12,X,113,113,3,34,22,' RNA-binding protein 39',2.42733980293,41.5893975293,113.0,301.0,1000.0,6.3,3.8
65,25,3FYM,A,82,1.00,0.11,X,82,82,0,51,0,' putative uncharacterized protein',2.76736122886,47.4152346184,82.0,197.0,1.0,6.3,3.8
66,25,3AGN,A,114,0.96,0.12,X,114,114,0,22,32,' ribonuclease u2',2.33984741948,40.0903261955,115.0,316.0,1.0,6.3,3.8
67,25,3G46,A,146,0.91,0.13,X,146,146,0,124,0,' globin-1',4.0880781919,70.0440493947,146.0,399.0,1.0,6.3,3.8
68,25,3TEU,A,98,1.00,0.11,X,98,98,0,0,49,' fibcon',1.71249238801,29.3413911826,98.0,268.0,1000.0,6.3,3.8
69,25,3ZSK,A,138,0.90,0.13,X,138,138,0,3,86,' galectin-3',2.3194574216,39.7409693702,138.0,399.0,1000.0,6.3,3.8
70,25,2OB3,A,330,1.04,0.10,X,329,329,1,166,44,' parathion hydrolase',4.81951851532,82.5763542425,330.0,1077.0,1.0,6.3,3.8
71,25,1IXH,A,321,0.98,0.12,X,321,321,0,124,72,' phosphate-binding protein',4.73111725786,81.061710502,321.0,1029.0,2.0,6.3,3.8
72,25,4ACJ,A,167,0.97,0.12,X,167,167,0,23,56,' wu\',2.81029468274,48.1508450502,167.0,500.0,1000.0,6.3,3.8
73,25,1ZZK,A,80,0.95,0.12,X,80,80,0,36,20,' heterogeneous nuclear ribonucleoprotein k',1.98683430002,34.0418928692,80.0,209.0,1.0,6.3,3.8
74,25,2CAR,A,196,1.09,0.10,X,196,196,0,73,48,' inosine triphosphate pyrophosphatase',3.45378627853,59.176259684,196.0,585.0,1000.0,6.3,3.8
75,25,2XOD,A,118,0.96,0.12,X,118,118,0,52,28,' nrdi protein',2.34273864705,40.1398637232,118.0,336.0,1.0,6.3,3.8
76,25,2CNQ,A,302,1.00,0.12,X,301,301,1,101,74,' phosphoribosylaminoimidazole-succinocarboxamide synthase',5.05759197123,86.6554418046,301.0,893.0,2.0,6.3,3.8
77,25,1SFS,A,213,1.07,0.10,X,213,213,0,75,49,' hypothetical protein',3.23903773291,55.4968149593,213.0,678.0,1.0,6.3,3.8
78,25,1ET1,A,34,0.90,0.14,X,34,34,0,31,0,' parathyroid hormone',2.86991499036,49.1723636161,34.0,60.0,1000.0,6.3,3.8
79,25,1XF6,B,67,1.10,0.10,X,67,67,0,18,18,' phycoerythrin alpha-2 chain',3.16734339385,54.2684231354,67.0,95.0,1.0,6.3,3.8
80,25,1F94,A,63,0.97,0.12,X,63,63,0,0,34,' bucandin',1.17036107317,20.052656767,63.0,183.0,1.0,6.3,3.8
81,25,3FSA,A,123,0.98,0.12,X,122,122,1,24,43,' azurin',2.13626714105,36.602235604,122.0,353.0,1.0,6.3,3.8
82,25,1ZUU,A,56,0.97,0.12,X,56,56,0,3,24,' bzz1 protein',1.16942019638,20.0365360332,56.0,151.0,1.0,6.3,3.8
83,25,1C5E,A,95,1.10,0.10,X,95,95,0,5,33,' head decoration protein',1.73380191258,29.7065029348,95.0,264.0,1.0,6.3,3.8
84,25,3EO6,A,106,0.97,0.12,X,106,106,5,3,66,' protein of unknown function (duf1255)',1.84047920041,31.5342833409,106.0,293.0,1.0,6.3,3.8
85,25,1PSR,A,100,1.05,0.11,X,100,100,0,61,2,' psoriasin',4.3530281918,74.5836325456,100.0,215.0,1.0,6.3,3.8
86,25,1NKD,A,59,1.09,0.10,X,59,59,0,55,0,' rop',2.36022446682,40.4394611297,59.0,143.0,1.0,6.3,3.8
87,25,1GKM,A,508,1.00,0.12,X,508,508,1,299,36,' histidine ammonia-lyase',6.95916587608,119.236505636,508.0,1687.0,2.0,6.3,3.8
88,25,3NVS,A,426,1.02,0.12,X,426,426,0,152,104,' 3-phosphoshikimate 1-carboxyvinyltransferase',4.95155613869,84.8386519235,426.0,1476.0,2.0,6.3,3.8
89,25,2R31,A,236,1.00,0.12,X,236,236,0,143,23,' atp12 atpase',5.1759518727,88.6833890199,236.0,658.0,2.0,6.3,3.8
90,25,2GGC,A,264,1.00,0.12,X,264,264,0,70,72,' methionine aminopeptidase',3.57727752862,61.2921260679,264.0,896.0,1.0,6.3,3.8
91,25,3FMU,A,319,1.04,0.11,X,319,319,0,136,22,' versatile peroxidase vpl2',4.96888274936,85.1355214834,321.0,1023.0,1000.0,6.3,3.8
92,25,1UG6,A,426,0.99,0.12,X,426,426,0,176,75,' beta-glycosidase',5.59025960694,95.7820280476,426.0,1396.0,1.0,6.3,3.8
93,25,3PSM,A,47,0.98,0.12,X,47,47,0,10,15,' defensin',1.02757723832,17.6062363436,47.0,129.0,1.0,6.3,3.8
94,25,2FOU,A,260,0.99,0.12,X,260,260,1,37,80,' carbonic anhydrase ii',3.82966859581,65.6165277909,260.0,791.0,1.0,6.3,3.8
95,25,4AS8,A,228,1.02,0.12,X,228,228,0,0,0,' green fluorescent protein',3.25199944952,55.7188975801,228.0,710.0,1000.0,6.3,3.8
96,25,2BOI,A,113,1.10,0.10,X,113,113,0,0,81,' cv-iil lectin',1.71362413759,29.3607822804,115.0,365.0,1.0,6.3,3.8
97,25,1L9L,A,74,0.92,0.14,X,74,74,0,60,0,' granulysin',2.51671781043,43.1207766465,74.0,186.0,1.0,6.3,3.8
98,25,3DHA,A,254,0.95,0.13,X,254,254,0,66,76,' n-acyl homoserine lactone hydrolase',3.74961518664,64.2449138729,254.0,802.0,1.0,6.3,3.8
99,25,2PND,A,119,1.00,0.12,X,119,119,0,6,63,' v-set and immunoglobulin domain containing 4',2.31474047257,39.6601504143,119.0,307.0,1000.0,6.3,3.8
100,25,3RY1,B,126,1.03,0.12,X,126,126,0,9,68,' streptavidin',2.59900449082,44.5306548423,126.0,318.0,1.0,6.3,3.8
101,25,3NED,A,229,0.95,0.14,X,228,228,1,22,125,' pamcherry1 protein',3.31674886125,56.8282968577,228.0,704.0,1.0,6.3,3.8
102,25,2WYT,A,153,1.00,0.12,X,153,153,0,12,62,' superoxide dismutase [cu-zn]',2.12255915247,36.3673665571,153.0,523.0,1.0,6.3,3.8
103,25,3EUN,A,81,1.05,0.12,X,81,81,0,26,12,' ferredoxin',2.07581046131,35.5663868597,81.0,201.0,1.0,6.3,3.8
104,25,4EGU,A,118,0.95,0.14,X,118,118,0,36,28,' histidine triad (hit) protein',3.1221807056,53.4946175921,118.0,279.0,1000.0,6.3,3.8
105,25,4GNR,A,349,1.00,0.13,X,349,349,1,144,74,' abc transporter substrate-binding protein-branched chain amino acid transport',4.61970379241,79.1527816825,349.0,1189.0,1000.0,6.3,3.8
106,25,2OFR,X,184,1.00,0.13,X,184,184,0,23,83,' nitrophorin-4',3.20738449494,54.9544767604,184.0,522.0,1.0,6.3,3.8
107,25,1LU0,A,29,1.03,0.12,X,29,29,0,3,4,' trypsin inhibitor i',0.777812522563,13.3268338307,29.0,67.0,1000.0,6.3,3.8
108,25,1JM1,A,202,1.11,0.11,X,202,202,0,27,61,' rieske iron-sulfur protein soxf',3.26322521675,55.9112369036,202.0,640.0,1.0,6.3,3.8
109,25,2ZK9,X,185,1.15,0.10,X,185,185,0,45,59,' protein-glutaminase',3.43005442778,58.7696444363,185.0,534.0,1000.0,6.3,3.8
110,25,2CI1,A,275,1.08,0.11,X,275,275,2,87,71,"' ng, ng-dimethylarginine dimethylaminohydrolase 1'",4.23849691041,72.6212838933,275.0,848.0,1.0,6.3,3.8
111,25,3KFF,A,152,0.96,0.14,X,152,152,0,30,74,' major urinary protein 4',3.1251905657,53.546187738,152.0,412.0,1.0,6.3,3.8
112,25,2FN3,A,524,1.00,0.13,X,524,524,0,208,93,' benzoylformate decarboxylase',6.0762138059,104.108238633,527.0,1734.0,3.0,6.3,3.8
113,25,2QSK,A,95,1.00,0.13,X,95,95,0,12,12,' scytovirin',1.85946084302,31.8595097799,95.0,296.0,2.0,6.3,3.8
114,25,3SK2,A,132,1.01,0.13,X,132,132,0,25,46,' ehpr',3.35728752196,57.5228755375,132.0,293.0,1000.0,6.3,3.8
115,25,1M1Q,A,90,0.97,0.14,X,89,90,0,37,2,' small tetraheme cytochrome c',3.57792864566,61.3032821349,90.0,196.0,1.0,6.3,3.8
116,25,1KTH,A,58,0.95,0.14,X,57,58,0,12,17,' collagen alpha 3(vi) chain',1.1966999764,20.5039405616,58.0,154.0,1.0,6.3,3.8
117,25,2A6Z,A,222,1.00,0.13,X,222,222,0,19,105,' emp47p (form2)',3.20181223001,54.8590030482,222.0,695.0,1.0,6.3,3.8
118,25,2ANV,A,146,1.04,0.12,X,146,146,0,80,16,' lysozyme',3.83367053497,65.6850959569,146.0,381.0,1.0,6.3,3.8
119,25,4GZN,C,59,0.99,0.13,X,57,58,0,0,0,' zinc finger protein 57',2.47592697038,42.4218771927,59.0,119.0,1000.0,6.3,3.8
120,25,2Z72,A,338,1.10,0.11,X,338,338,0,100,78,' protein-tyrosine-phosphatase',5.13742628028,88.0233017192,338.0,1037.0,1.0,6.3,3.8
121,25,1I27,A,73,1.02,0.13,X,73,73,0,38,11,' transcription factor iif',2.23024913526,38.2124982105,73.0,174.0,1.0,6.3,3.8
122,25,4EKF,A,192,0.98,0.14,X,192,192,1,0,0,' adenain',3.55488559719,60.9084686431,192.0,572.0,1000.0,6.3,3.8
123,25,2IIM,A,62,1.00,0.13,X,62,62,0,3,27,' proto-oncogene tyrosine-protein kinase lck',1.37387400184,23.5395934053,63.0,166.0,1.0,6.3,3.8
124,25,3AYJ,B,687,1.10,0.11,X,685,685,2,235,151,' pro-enzyme of l-phenylalanine oxidase',8.19769689056,140.457168129,685.0,2280.0,1000.0,6.3,3.8
125,25,1MN8,B,93,1.00,0.13,X,93,93,0,56,0,' core protein p15',2.76951153341,47.4520773672,93.0,244.0,1.0,6.3,3.8
126,25,1W66,A,218,1.08,0.12,X,218,218,0,66,64,' lipoyltransferase',3.61089639165,61.8681427662,218.0,638.0,1.0,6.3,3.8
127,25,1W23,A,360,1.08,0.12,X,360,360,0,146,62,' phosphoserine aminotransferase',5.76743936015,98.8177790296,360.0,1090.0,2.0,6.3,3.8
128,25,3ULJ,B,90,1.06,0.12,X,90,90,0,0,0,"' lin28b, DNA-binding protein'",1.68602575078,28.8879188275,90.0,249.0,1000.0,6.3,3.8
129,25,1SAU,A,114,1.12,0.11,X,114,114,0,54,10,"' sulfite reductase, desulfoviridin-type subunit gamma'",2.97761013731,51.0175837509,114.0,313.0,2.0,6.3,3.8
130,25,1RW1,A,114,1.02,0.13,X,114,114,3,60,18,' conserved hypothetical protein yffb',3.23461381661,55.4210167487,114.0,277.0,1.0,6.3,3.8
131,25,3DJJ,A,462,1.10,0.11,X,462,462,0,154,118,"' glutathione reductase, mitochondrial precursor'",6.41133586985,109.850131351,462.0,1433.0,3.0,6.3,3.8
132,25,1CXQ,A,144,1.02,0.13,X,143,143,1,68,27,' avian sarcoma virus integrase',3.32321831971,56.9391428462,143.0,377.0,1.0,6.3,3.8
133,25,2XMJ,A,63,1.08,0.12,X,63,63,0,22,13,' ssr2857 protein',1.6851768258,28.8733735717,63.0,155.0,1.0,6.3,3.8
134,25,3RWN,C,154,1.00,0.13,X,154,154,0,19,69,' gene 9 protein',2.66667400332,45.6900863536,154.0,423.0,1000.0,6.3,3.8
135,25,1WY3,A,35,0.95,0.14,X,35,35,1,25,0,' villin',1.99434281639,34.1705418007,35.0,70.0,1000.0,6.3,3.8
136,25,2FE5,A,94,1.10,0.12,X,94,94,0,14,36,' presynaptic protein sap102',1.73026900899,29.6459711,94.0,279.0,1.0,6.3,3.8
137,25,2BF9,A,36,0.99,0.14,X,36,36,1,18,0,' pancreatic hormone',1.81354572097,31.0728122351,36.0,64.0,1000.0,6.3,3.8
138,25,3LO8,A,303,1.05,0.12,X,302,302,1,85,84,' ferredoxin--nadp reductase',4.71295363285,80.7504997601,302.0,874.0,2.0,6.3,3.8
139,25,2I4A,A,107,1.00,0.14,X,107,107,0,36,30,' thioredoxin',2.24936312742,38.5399922916,107.0,297.0,1.0,6.3,3.8
140,25,1R2Q,A,170,1.05,0.12,X,170,170,0,64,48,' ras-related protein rab-5a',3.0519067721,52.2905626209,170.0,493.0,1.0,6.3,3.8
141,25,2HBW,A,220,1.05,0.13,X,220,220,2,53,72,' nlp/p60 protein',3.50394748708,60.0357085506,220.0,687.0,2.0,6.3,3.8
142,25,2XWV,A,309,1.05,0.13,X,309,309,0,162,60,' sialic acid-binding periplasmic protein siap',5.08387142955,87.1057070857,309.0,974.0,1000.0,6.3,3.8
143,25,3GMX,A,155,1.05,0.13,X,154,154,1,31,50,' blp',2.69674694163,46.2053481165,154.0,467.0,1.0,6.3,3.8
144,25,2YEO,A,65,1.08,0.12,X,65,65,0,10,30,' alpha-insect toxin lqhait',1.14843853141,19.6770417406,65.0,203.0,1.0,6.3,3.8
145,25,4AXO,B,137,1.00,0.14,X,137,137,0,9,72,' ethanolamine utilization protein',2.52095281395,43.1933380756,137.0,365.0,1000.0,6.3,3.8
146,25,1QJ4,A,256,1.10,0.12,X,256,256,0,104,47,' hydroxynitrile lyase',4.08476270721,69.9872427577,256.0,798.0,1.0,6.3,3.8
147,25,3ZQW,A,153,1.07,0.12,X,153,153,0,12,77,' cellulosomal scaffoldin',2.28245629749,39.107001906,154.0,476.0,1000.0,6.3,3.8
148,25,1EXR,A,146,1.00,0.14,X,146,146,0,94,6,' calmodulin',4.3618616029,74.7349818728,151.0,380.0,2.0,6.3,3.8
149,25,3TU8,A,210,1.04,0.13,X,210,210,1,34,92,' burkholderia lethal factor 1 (blf1)',3.17417382808,54.385453987,210.0,629.0,1000.0,6.3,3.8
150,25,3URC,A,198,1.10,0.12,X,198,198,0,14,109,' alpha-lytic protease',2.45535080498,42.0693306225,198.0,720.0,1000.0,6.3,3.8
151,25,3LWX,A,199,1.10,0.12,X,199,199,3,72,58,' nadh',3.58782053121,61.4727670829,199.0,597.0,1000.0,6.3,3.8
152,25,1R2M,A,70,1.00,0.14,X,70,70,0,10,28,' hydrophobin ii',1.3084559369,22.4187376006,70.0,206.0,1.0,6.3,3.8
153,25,2P5K,A,63,1.00,0.14,X,63,63,0,35,10,' arginine repressor',2.36858617901,40.5827284925,63.0,140.0,1000.0,6.3,3.8
154,25,3GOE,A,80,0.97,0.14,X,80,80,0,15,27,' DNA repair protein rad60',2.00926826928,34.4262705589,81.0,187.0,1.0,6.3,3.8
155,25,3OV5,A,84,1.04,0.13,X,83,83,0,30,22,' uncharacterized protein',2.30762905338,39.5383052408,84.0,199.0,1000.0,6.3,3.8
156,25,1XMK,A,79,0.97,0.14,X,79,79,0,44,10,' double-stranded RNA-specific adenosine deaminase',2.62508096221,44.9774421991,79.0,194.0,1.0,6.3,3.8
157,25,1KMV,A,185,1.05,0.13,X,185,185,0,37,58,' dihydrofolate reductase',3.55609408423,60.9291745401,185.0,493.0,1.0,6.3,3.8
158,25,4AFF,A,111,1.05,0.13,X,110,110,1,32,33,' nitrogen regulatory protein p-ii',2.65249442848,45.4471372723,111.0,255.0,1000.0,6.3,3.8
159,25,3I06,A,216,1.10,0.12,X,215,215,1,58,51,' cruzipain',3.14202998349,53.8347098642,215.0,709.0,1.0,6.3,3.8
160,25,3RO3,A,159,1.10,0.12,X,159,159,0,136,0,' g-protein-signaling modulator 2',3.67510018391,62.9681935444,159.0,494.0,1000.0,6.3,3.8
161,25,4A29,A,247,1.10,0.12,X,247,247,0,0,0,' engineered retro-aldol enzyme ra95.0',4.23185958022,72.507561635,247.0,734.0,1000.0,6.3,3.8
162,25,1TG0,A,66,0.97,0.15,X,66,66,0,3,32,' myosin tail region-interacting protein mti1',1.43836764098,24.6446103433,66.0,166.0,1.0,6.3,3.8
163,25,1P6O,B,161,1.14,0.11,X,161,161,0,71,29,' cytosine deaminase',2.72914534423,46.7604537689,163.0,530.0,1.0,6.3,3.8
164,25,4HCJ,A,173,1.12,0.12,X,173,173,4,0,0,' thij/pfpi domain protein',2.59999745634,44.5476680506,173.0,591.0,1000.0,6.3,3.8
165,25,2X5Y,A,171,1.05,0.13,X,171,171,0,52,55,' zinc finger ccch-type antiviral protein 1',3.01852919156,51.718679993,171.0,479.0,1.0,6.3,3.8
166,25,2X9G,D,249,1.10,0.12,X,249,249,0,119,31,' pteridine reductase',4.05941490655,69.5529402523,249.0,764.0,1.0,6.3,3.8
167,25,2V9V,A,135,1.10,0.12,X,135,135,0,74,23,' selenocysteine-specific elongation factor',3.99312208933,68.4170966734,135.0,337.0,1000.0,6.3,3.8
168,25,1H5V,A,301,1.10,0.12,X,301,301,0,121,58,' endoglucanase 5a',4.22994704773,72.4747928097,311.0,1063.0,1.0,6.3,3.8
169,25,3R2Q,A,202,1.05,0.13,X,202,202,1,109,13,' uncharacterized gst-like protein yibf',4.76594883869,81.6585055861,202.0,543.0,1000.0,6.3,3.8
170,25,4B5O,A,192,1.05,0.13,X,192,192,0,0,0,' alpha-tubulin n-acetyltransferase',4.30493730517,73.7596560266,192.0,471.0,1000.0,6.3,3.8
171,25,2BK9,A,153,1.20,0.10,X,153,153,0,118,2,' cg9734-pa',4.67897187033,80.1682652379,153.0,393.0,1.0,6.3,3.8
172,25,2OFC,A,141,1.11,0.12,X,141,141,0,15,75,' sclerotium rolfsii lectin',2.38577760002,40.8772817485,141.0,426.0,1.0,6.3,3.8
